species,w_min,w_inf,w_mat,h,ks,beta,sigma,z0,alpha,erepro,sel_func,catchability,knife_edge_size,gear,pred_kernel_type,k,gamma,w_mat25,m,R_max,constant_recruitment,linetype,linecolour,latin.name,w_inf_old,k_vb,t0,adult_max_length,biomass_observed,abundance_observed,cutoff_size,cutoff_length,a,b,l_mat,l_min,detQ,scavQ,egg_length,l50,SR,l25,rho_detritus,rho_carrion,kernel_exp,kernel_l_l,kernel_u_l,kernel_l_r,kernel_u_r,interaction_resource,p,q,n,f0,yield_observed,biomass_cutoff,discard,number_observed,number_cutoff,n_detritus
Small worms DF,1.00E-07,0.128,0.00450,6.3,0.28,1,1,1.11210396,0.4,0.0001218303508,sigmoid_length,0,0.0016,knife_edge_gear,lognormal,0,0.06531573676,0.00001,1,Inf,1529431.08,solid,#b79955,Small worms DF,0.00624,14.135,-0.1000,0.20,NA,0,9.25E-05,0.01,6.223,2.414,0.05,5.76E-03,1,0,0.0058,15,2,14,0.0007183333333,0,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,9.25E-05,0.15,279.6,9.25E-05,0.7
Small crustacea DF,3.43E-07,0.045,0.00269,3.9,0.23,1,1,1.526014784,0.4,0.001027564425,sigmoid_length,0,0.0027,knife_edge_gear,lognormal,0,0.05356665267,0.00241,1,Inf,8544885.087,solid,#0060a8,Small crustacea DF,0.0445,0.481,-0.1000,0.51,NA,NA,3.62E-07,0.01,0.32296465,2.975,0.20,0.001,1,0,0.0010,15,2,14,0.0005025,0,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,3.62E-07,0.15,79.6,3.62E-07,0.7
Large worms DF,4.20E-06,1.168,0.02399,11.9,0.52,1,1,0.5727396278,0.4,3.50E-06,sigmoid_length,0,0.0239,knife_edge_gear,lognormal,0,0.119305709,0.02141,1,1079.258907,140381.5061,solid,#dc8852,Large worms DF,0.68,0.370,-0.1000,0.50,NA,NA,9.25E-05,0.01,6.223,2.414,0.10,2.00E-02,1,0,0.0200,15,2,14,0.001295,0,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,9.25E-05,0.15,257,9.25E-05,0.7
Large crustacea P/S,2.95E-04,0.248,0.05469,5,0.23,10.9,2,0.9119445841,0.4,0.2560465114,sigmoid_length,0,0.0547,knife_edge_gear,lognormal,0,0.8880915808,0.04900,1,Inf,134727.4975,solid,#007ca9,Large crustacea P/S,0.24770951,0.345,-0.1000,0.80,NA,NA,1.89E-07,0.01,0.50745994,3.2139,0.50,0.015,0,1,0.0150,15,2,14,0,0.00027,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,1.89E-07,0.15,4.95,1.89E-07,0.7
Suprabenthic crustacea,2.95E-04,0.507,0.05469,7,0.34,10,2,0.7354120154,0.4,0.04505812711,sigmoid_length,0,0.0547,knife_edge_gear,lognormal,0,0.35173,0.04900,1,Inf,358506.0198,solid,#ab003c,Suprabenthic crustacea,NA,0.48,-0.1000,1.00,0.02992,NA,1.89E-07,0.01,0.50745994,3.2139,0.50,0.015,0,1,0.0150,15,2,14,0,0.00043,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,1.89E-07,0.15,NA,1.89E-07,0.7
Large worms P/S,4.80E-06,1.168,0.02399,10,0.52,100,2,0.5727396278,0.4,2.85E-06,sigmoid_length,0,0.0239,knife_edge_gear,lognormal,0,0.111,0.02141,1,12936.39511,84107.71593,solid,#9796d9,Large worms P/S,0.68,0.685,-0.1000,0.50,NA,NA,9.25E-05,0.01,6.223,2.414,0.10,2.09E-02,0,1,0.0209,15,2,14,0,0.0015,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,9.25E-05,0.15,199,9.25E-05,0.7
Very large worm,8.20E-06,88.261,1.16765,31,2.03,10,2,2,0.4,0.0001219014406,sigmoid_length,0,1.1670,knife_edge_gear,lognormal,0,0.0864,1.04558,1,647.0398318,17977.17693,solid,#472c00,Bristle worm,NA,0.48,-0.1000,3.00,NA,0,9.25E-05,0.01,6.223,2.414,0.50,2.50E-02,1,0,0.0250,15,2,14,0.01,0,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,9.25E-05,0.15,95,9.25E-05,0.7
Starfish,4.20E-06,227.506,52.98836,49,3.89,52,2,0.1177750437,0.4,7.12E-07,sigmoid_length,0.03,52.9800,knife_edge_gear,lognormal,0,0.0831,4.00000,1,0.02823154818,14.22784434,solid,#b492b0,Astropecten irregularis,97.79,0.289,-0.1000,17.00,NA,0,0.01417594922,0.5,0.0951,2.746,10.00,2.00E-02,0,1,0.0200,15,2,14,0,0.00625,NA,NA,NA,NA,NA,0.05,0.7,0.8,0.7,0.6,NA,0.01417594922,0.15,0.11814,0.01417594922,0.7
Nut clam,2.90E-07,36.822,0.29600,34,1.77,1,1,0.2033854151,0.4,5.91E-08,sigmoid_length,0,0.2960,knife_edge_gear,lognormal,0,3.09,0.26640,0.79,0.006708466021,111.7556851,solid,#140000,Nucula nucleus,2.36707269,0.169,-0.1000,5.00,NA,NA,0.03707701939,0.5,0.296,2.997,1.00,8.21E-03,1,0,0.0082,15,2,14,0.003243333333,0,NA,NA,NA,NA,NA,0,0.7,0.8,0.7,0.6,NA,0.03707701939,0.15,0.01309,0.03707701939,0.7
Murex,7.00E-06,22.135,6.99815,6.45,0.56,50.25,2,0.2369335653,0.4,0.0005074636882,sigmoid_length,1,6.6649,knife_edge_gear,lognormal,0,0.265,5.97147,1,0.03111706301,134.7254906,solid,#dc8488,Bolinus brandaris,89.9380262,1.263,-0.3100,6.00,NA,NA,0.01906371179,0.5,0.1365,2.840,4.00,2.37E-02,0,1,0.0237,15,2,14,0,0.0014525,NA,NA,NA,NA,NA,0.05,0.7,0.8,0.7,0.6,NA,0.01906371179,0.15,0.06322,0.01906371179,0.7
